country,date,unemployment
NL,1985-02,8.8
PT,1985-02,9.6
IT,1985-03,8.1
NL,1985-03,9.5
FR,1985-03,8.7
IT,1985-03,8.0
NL,1985-03,8.7
PT,1985-03,9.7
IT,1985-03,8.0
NL,1985-03,8.7
PT,1985-03,9.7
IT,1985-04,7.9
NL,1985-04,8.8
FR,1985-04,8.7
IT,1985-04,8.0
NL,1985-04,8.7
PT,1985-04,9.8
IT,1985-04,8.0
NL,1985-04,8.7
PT,1985-04,9.8
IT,1985-05,7.8
NL,1985-05,8.5
FR,1985-05,8.7
IT,1985-05,8.0
NL,1985-05,8.6
PT,1985-05,9.8
IT,1985-05,8.0
NL,1985-05,8.6
PT,1985-05,9.8
IT,1985-06,8.0
NL,1985-06,8.6
FR,1985-06,8.7
IT,1985-06,8.1
NL,1985-06,8.5
PT,1985-06,9.8
IT,1985-06,8.1
NL,1985-06,8.5
PT,1985-06,9.8
IT,1985-07,7.9
NL,1985-07,7.7
FR,1985-07,8.7
IT,1985-07,8.2
NL,1985-07,8.4
PT,1985-07,9.9
IT,1985-07,8.2
NL,1985-07,8.4
PT,1985-07,9.9
IT,1985-08,7.9
NL,1985-08,7.7
FR,1985-08,8.7
IT,1985-08,8.2
NL,1985-08,8.3
PT,1985-08,10.0
IT,1985-08,8.2
NL,1985-08,8.3
PT,1985-08,10.0
IT,1985-09,8.1
NL,1985-09,8.1
FR,1985-09,8.7
IT,1985-09,8.3
NL,1985-09,8.2
PT,1985-09,10.0
IT,1985-09,8.3
NL,1985-09,8.2
PT,1985-09,10.0
IT,1985-10,8.4
NL,1985-10,8.1
FR,1985-10,8.7
IT,1985-10,8.3
NL,1985-10,8.2
PT,1985-10,10.0
IT,1985-10,8.3
NL,1985-10,8.2
PT,1985-10,10.0
IT,1985-11,8.6
NL,1985-11,8.1
FR,1985-11,8.7
IT,1985-11,8.4
NL,1985-11,8.1
PT,1985-11,10.0
IT,1985-11,8.4
NL,1985-11,8.1
PT,1985-11,10.0
IT,1985-12,8.6
NL,1985-12,7.5
FR,1985-12,8.7
IT,1985-12,8.5
NL,1985-12,8.0
PT,1985-12,10.1
IT,1985-12,8.5
NL,1985-12,8.0
PT,1985-12,10.1
IT,1986-01,8.8
NL,1986-01,8.3
FR,1986-01,8.6
IT,1986-01,8.5
NL,1986-01,7.9
PT,1986-01,10.1
IT,1986-01,8.5
NL,1986-01,7.9
PT,1986-01,10.1
IT,1986-02,8.9
NL,1986-02,8.4
FR,1986-02,8.6
IT,1986-02,8.6
NL,1986-02,7.8
PT,1986-02,10.1
IT,1986-02,8.6
NL,1986-02,7.8
PT,1986-02,10.1
IT,1986-03,8.8
NL,1986-03,8.4
FR,1986-03,8.6
IT,1986-03,8.6
NL,1986-03,7.8
PT,1986-03,10.1
IT,1986-03,8.6
NL,1986-03,7.8
PT,1986-03,10.1
BE,1986-04,9.7
ES,1986-04,20.9
IT,1986-04,8.7
NL,1986-04,7.8
BE,1986-04,10.1
ES,1986-04,20.6
FR,1986-04,8.7
