model,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper,observations,countries,within_r2
Country fixed effects,-0.258620,0.054778,-4.721275,0.002154,-0.366009,-0.151231,2448,8,0.112115
Country + month fixed effects,-0.106377,0.013037,-8.159805,0.000080,-0.131927,-0.080827,2448,8,0.067507
